E QSPR,S QSPR,A QSPR,B QSPR,V,L QSPR,MW,Ncharges,C,N,O,S,Cl,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,log RRF
2,2.26,1.71,1.66,1.602,9.569,244.1614,0,14,2,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,-1.609064893
0.35,1.05,0.31,1.43,1.3278,5.185,254.1381,0,10,5,4,0,0,0,0,1,0,3,0,0,0,0,1,0,0,3,2,-1.549750892
2.89,3.38,1.48,2.44,1.8123,11.859,242.1654,0,15,1,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,-1.549750892
1.56,1.41,0.63,1.06,1.328,7.47,270.1375,0,10,5,5,0,0,0,0,1,0,3,0,0,0,0,1,0,0,3,2,-1.53313238
2.71,3.36,1.07,2.08,1.7536,11.39,580.377,0,20,6,12,2,0,2,4,0,0,0,0,0,4,0,0,0,0,0,0,-1.53165267
1.07,1.44,0.62,1.17,1.3133,6.064,300.2262,0,20,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,2,-1.525783736
1.5,1.98,0.68,1.44,1.5462,8.167,436.2434,0,22,2,9,0,0,0,0,1,0,6,0,2,0,0,0,0,0,4,1,-1.525783736
1.37,1.77,1.03,1.31,1.4944,7.614,120.0657,0,5,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.49757288
1.73,2.05,1.08,1.5,1.5433,8.786,138.0578,0,5,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,-1.449771647
2.16,2.82,0.31,1.78,2.5512,12.288,158.0938,0,7,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,-1.358525889
0.21,1.24,0,1.55,1.7662,6.432,160.0865,0,7,2,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.281498311
2.58,3.47,0.8,2.36,1.8945,11.122,162.0825,0,6,3,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1.280668713
0.18,1.25,0,1.31,1.6253,5.955,198.1113,2,10,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1.253365801
0.14,1.24,0,1.57,1.9071,6.904,212.1213,0,9,4,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,-1.176525771
0.17,1.24,0,1.57,2.4707,8.883,210.122,2,11,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1.109020403
1.45,2.05,0.56,1.88,2.1763,9.56,266.1488,0,11,5,4,0,0,0,0,2,0,3,0,0,0,0,1,0,0,3,2,-1.051587034
1.07,1.61,-0.06,1.72,2.2604,9.157,258.1648,2,15,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.440093375
